'hood.n.01	(slang) a neighborhood
scarce.a.01	deficient in quantity or number compared with the demand
scarcity.n.01	a small and inadequate amount
scardinius.n.01	rudds
scare.n.02	a sudden attack of fear
scarecrow.n.01	an effigy in the shape of a man to frighten birds away from seeds
scaremonger.n.01	a person who spreads frightening rumors and stirs up trouble
scarf.n.01	a garment worn around the head or neck or shoulders for warmth or decoration
scarf.v.01	masturbate while strangling oneself
scarf.v.03	wrap in or adorn with a scarf
scaridae.n.01	parrotfishes
scarlet_runner.n.01	tropical American bean with red flowers and mottled black beans similar to Phaseolus vulgaris but perennial; a preferred food bean in Great Britain
scarlet_tanager.n.01	the male is bright red with black wings and tail
scartella.n.01	a genus of Blenniidae
scat.v.01	flee; take to one's heels; cut and run
scatter.n.01	a haphazard distribution in all directions
scatter.n.02	the act of scattering
scatter.v.03	distribute loosely
scattering.n.01	a small number (of something) dispersed haphazardly
scattering.n.03	a light shower that falls in some locations and not others nearby
scaup.n.01	diving ducks of North America having a bluish-grey bill
scavenge.v.04	remove unwanted substances from
scavenger.n.03	any animal that feeds on refuse and other decaying organic matter
sceloglaux.n.01	a genus of Strigidae
sceloporus.n.01	spiny lizards
scend.v.01	rise or heave upward under the influence of a natural force such as a wave
scene.n.01	the place where some action occurs
scene.n.04	a consecutive series of pictures that constitutes a unit of action in a film
scenery.n.01	the painted structures of a stage set that are intended to suggest a particular locale
scenery.n.02	the appearance of a place
scent.n.02	an odor left in passing by which a person or animal can be traced
scent.v.02	catch the scent of; get wind of
scentless_camomile.n.01	ubiquitous European annual weed with white flowers and finely divided leaves naturalized and sometimes cultivated in eastern North America; sometimes included in genus Matricaria
schadenfreude.n.01	delight in another person's misfortune
schaffneria.n.01	one species
schedule.n.02	an ordered list of times at which things are planned to occur
schedule.v.01	plan for an activity or event
schedule.v.02	make a schedule; plan the time and place for events
scheduling.n.01	setting an order and time for planned events
schefflera.n.01	large genus of shrubby and climbing tropical plants having showy digitately compound foliage
scheldt.n.01	a river that rises in France and flows northeast across Belgium and empties into the North Sea
schema.n.01	an internal representation of the world; an organization of concepts and actions that can be revised by new information about the world
schematization.n.01	providing a chart or outline of a system
schematize.v.01	formulate in regular order; to reduce to a scheme or formula
schematize.v.02	give conventional form to
scheme.n.01	an elaborate and systematic plan of action
scheme.v.01	form intrigues (for) in an underhand manner
scheme.v.02	devise a system or form a scheme for
schemer.n.01	a planner who draws up a personal scheme of action
schenectady.n.01	a city of eastern New York on the Mohawk river; it prospered after the opening of the Erie Canal
scheuchzeriaceae.n.01	a family of monocotyledonous bog herbs of order Naiadales
schinus.n.01	genus of evergreen shrubs and trees of tropical and subtropical regions of South and Central America and Canary Islands and China
schism.n.01	division of a group into opposing factions
schism.n.02	the formal separation of a church into two churches or the withdrawal of one group over doctrinal differences
schistosoma.n.01	type genus of the family Schistosomatidae: blood flukes
schistosomatidae.n.01	a family of Trematoda
schistosome.n.01	flatworms parasitic in the blood vessels of mammals
schistosome_dermatitis.n.01	a sensitization reaction to repeated invasion of the skin by cercariae of schistosomes
schizachyrium.n.01	overlaps the genus Andropogon
schizaea.n.01	type genus of the Schizaeaceae cosmopolitan especially in tropics; small leptosporangiate ferns: curly grass fern
schizaeaceae.n.01	small family of mainly tropical ferns
schizophragma.n.01	small genus of deciduous climbing and creeping shrubs with white flowers in flat clusters; sometimes placed in family Saxifragaceae
schizophrenia.n.01	any of several psychotic disorders characterized by distortions of reality and disturbances of thought and language and withdrawal from social contact
schizophyta.n.01	former term for the Cyanophyta
schizosaccharomycetaceae.n.01	a family of fungi belonging to order Endomycetales
schlepper.n.01	(Yiddish) an awkward and stupid person
schlock.n.01	merchandise that is shoddy or inferior
schlockmeister.n.01	(slang) a merchant who deals in shoddy or inferior merchandise
schlumbergera.n.01	South American epiphytic or lithophytic cacti
schmaltz.n.01	(Yiddish) excessive sentimentality in art or music
schmuck.n.01	(Yiddish) a jerk
schnapps.n.01	any of various strong liquors especially a Dutch spirit distilled from potatoes
schnauzer.n.01	old German breed of sturdy black or greyish wire-haired terriers having a blunt muzzle ranging in size from fairly small to very large; used as ratters and guard dogs or police dogs
schnorr.v.01	obtain or seek to obtain by cadging or wheedling
schnorrer.n.01	(Yiddish) a scrounger who takes advantage of the generosity of others
scholar.n.01	a learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines
scholarly.a.01	characteristic of scholars or scholarship
scholarship.n.01	financial aid provided to a student on the basis of academic merit
scholastic.a.01	of or relating to schools
schomburgkia.n.01	genus of tropical American epiphytic orchids with showy racemose flowers
school.n.01	an educational institution
school.n.02	a building where young people receive education
school.n.04	a body of creative artists or writers or thinkers linked by a similar style or by similar teachers
school.n.05	the period of instruction in a school; the time period when school is in session
school.v.01	educate in or as if in a school
school_assignment.n.01	a school task performed by a student to satisfy the teacher
school_bus.n.01	a bus used to transport children to or from school
school_term.n.01	the time during which a school holds classes
school_year.n.01	the period of time each year when the school is open and people are studying
schoolchild.n.01	a young person attending school (up through senior high school)
schoolteacher.n.01	a teacher in a school below the college level
schutzstaffel.n.01	special police force in Nazi Germany founded as a personal bodyguard for Adolf Hitler in 1925; the SS administered the concentration camps
schweitzer.n.01	French philosopher and physician and organist who spent most of his life as a medical missionary in Gabon (1875-1965)
sciadopityaceae.n.01	family comprising a single genus that until recently was considered part of Taxodiaceae
sciadopitys.n.01	type and sole genus of Sciadopityaceae; Japanese umbrella pines
sciaena.n.01	type genus of the Sciaenidae: croakers
sciaenid_fish.n.01	widely distributed family of carnivorous percoid fishes having a large air bladder used to produce sound
sciaenidae.n.01	warm-water marine fishes including the drums and grunts and croakers and sea trout
sciaenops.n.01	a genus of Sciaenidae
science.n.01	a particular branch of scientific knowledge
scientific_instrument.n.01	an instrument used by scientists
scientific_knowledge.n.01	knowledge accumulated by systematic study and organized by general principles
scientific_research.n.01	research into questions posed by scientific theories and hypotheses
scientific_theory.n.01	a theory that explains scientific observations
scientist.n.01	a person with advanced knowledge of one or more sciences
scilla.n.01	an Old World plant of the genus Scilla having narrow basal leaves and pink or blue or white racemose flowers
scincidae.n.01	skinks
scindapsus.n.01	evergreen climbers with adhesive adventitious roots; southeastern Asia and Brazil
scintillate.v.01	give off
scintillation.n.01	(physics) a flash of light that is produced in a phosphor when it absorbs a photon or ionizing particle
scipio.n.01	Roman general who commanded the invasion of Carthage in the second Punic War and defeated Hannibal at Zama (circa 237-183 BC)
scirpus.n.01	rhizomatous perennial grasslike herbs
scissors.n.01	an edge tool having two crossed pivoting blades
scissortail.n.01	grey flycatcher of the southwestern United States and Mexico and Central America having a long forked tail and white breast and salmon and scarlet markings
sciuridae.n.01	a mammal family of true squirrels including: ground squirrels; marmots; chipmunks; flying squirrels; spermophiles
sciuromorpha.n.01	large more or less primitive rodents: squirrels; marmots; gophers; beavers; etc.
sciurus.n.01	type genus of the Sciuridae; typical moderate-sized arboreal squirrels
scleranthus.n.01	small genus of Old World weedy prostrate annuals: knawel
scleroderma.n.02	genus of poisonous fungi having hard-skinned fruiting bodies: false truffles
scleroderma_bovista.n.01	an earthball with a peridium that is firm dry and smooth when young but developing cracks when mature; pale orange-yellow when young and reddish brown at maturity
scleroderma_citrinum.n.01	an earthball fungus that is a dingy brownish yellow and a dark purplish interior; the peridium is covered with a pattern of small warts
scleroderma_flavidium.n.01	an earthball with a smooth upper surface that is at first buried in sand; the top of the fruiting body opens up to form segments like the ray of an umbel
sclerodermataceae.n.01	a family of fungi or order Sclerodermatales with a single-layered peridium; includes earthballs
sclerodermatales.n.01	an order of fungi having a peridium surrounding a gleba (sometimes placed in subclass Homobasidiomycetes)
scleropages.n.01	a genus of large freshwater fishes of Australia and Borneo
scleroparei.n.01	scorpionfishes; sculpins; gurnards; greenlings; flying gurnards
scleroprotein.n.01	a simple protein found in horny and cartilaginous tissues and in the lens of the eye
sclerosis.n.01	any pathological hardening or thickening of tissue
sclerotiniaceae.n.01	a fungus family of order Helotiales
scoff.v.02	treat with contemptuous disregard
scoffer.n.01	someone who eats food rapidly and greedily
scoffer.n.02	someone who jeers or mocks or treats something with contempt or calls out in derision
scold.n.01	someone (especially a woman) who annoys people by constantly finding fault
scolopacidae.n.01	sandpiper family: sandpipers; woodcocks; snipes; tattlers; curlews; godwits; dowitchers
scolopax.n.01	type of the Scolopacidae: Old World woodcocks
scolymus.n.01	small genus of thistlelike herbs of the Mediterranean region
scolytidae.n.01	large family of bark-boring or wood-boring short-beaked beetles; very destructive to forest and fruit trees
scolytus.n.01	type genus of the Scolytidae comprising numerous small bark beetles
scomber.n.01	type genus of the Scombridae
scomberesocidae.n.01	only sauries
scomberesox.n.01	a genus of Scomberesocidae
scomberomorus.n.01	Spanish mackerels
scombridae.n.01	marine food fishes: mackerels; chub mackerels; tuna
scombroid.n.01	important marine food and game fishes found in all tropical and temperate seas; some are at least partially endothermic and can thrive in colder waters
scombroidea.n.01	mackerels; tunas; albacores; bonitos; swordfishes; sailfishes
scoop.n.01	the quantity a scoop will hold
scoop.n.02	a hollow concave shape made by removing something
scoop.n.05	the shovel or bucket of a dredge or backhoe
scoop.n.06	a large ladle
scoop.v.01	take out or up with or as if with a scoop
scooter.n.02	child's two-wheeled vehicle operated by foot
scopal.a.01	of or relating to scope
scope.n.01	an area in which something acts or operates or has power or control: "the range of a supersonic jet"
scopes_trial.n.01	a highly publicized trial in 1925 when John Thomas Scopes violated a Tennessee state law by teaching evolution in high school; Scopes was prosecuted by William Jennings Bryan and defended by Clarence Darrow; Scopes was convicted but the verdict was later reversed
scophthalmus.n.01	a genus of Bothidae
scopolia.n.01	genus of European perennial herbs yielding medicinal alkaloids
scops_owl.n.01	any of several small owls having ear tufts and a whistling call
scorch.n.01	a surface burn
scorch.v.02	become superficially burned
score.n.03	a number that expresses the accomplishment of a team or an individual in a game or contest
score.n.08	a slight surface cut (especially a notch that is made to keep a tally)
score.n.10	the act of scoring in a game or sport
score.v.01	gain points in a game
score.v.02	make small marks into the surface of
score.v.03	make underscoring marks
score.v.04	write a musical score for
score.v.06	get a certain number or letter indicating quality or performance
scorer.n.01	a player who makes a score in a game or contest
scorer.n.02	a logger who marks trees to be felled
scorpaena.n.01	type genus of the Scorpaenidae: scorpionfishes
scorpaenid.n.01	any of numerous carnivorous usually bottom-dwelling warm-water marine fishes found worldwide but most abundant in the Pacific
scorpaenidae.n.01	scorpionfishes; rockfishes; lionfishes
scorpaenoid.n.01	fishes having the head armored with bony plates
scorpaenoidea.n.01	mail-cheeked fishes: scorpionfishes; gurnards
scorpio.n.01	(astrology) a person who is born while the sun is in Scorpio
scorpio.n.03	the eighth sign of the zodiac; the sun is in this sign from about October 23 to November 21
scorpionfish.n.01	marine fishes having a tapering body with an armored head and venomous spines
scorpionweed.n.01	any plant of the genus Phacelia
scorzonera.n.02	long black salsify
scot.n.01	a native or inhabitant of Scotland
scotch.n.02	whiskey distilled in Scotland; especially whiskey made from malted barley in a pot still
scotch_pine.n.01	medium large two-needled pine of northern Europe and Asia having flaking red-brown bark
scoter.n.01	large black diving duck of northern parts of the northern hemisphere
scotland.n.01	one of the four countries that make up the United Kingdom of Great Britain and Northern Ireland; located on the northern part of the island of Great Britain; famous for bagpipes and plaids and kilts
scotoma.n.01	an isolated area of diminished vision within the visual field
scott.n.01	award-winning United States film actor (1928-1999)
scottish.n.01	the dialect of English used in Scotland
scour.n.01	a place that is scoured (especially by running water)
scourge.v.01	punish severely; excoriate
scout.n.02	a Boy Scout or Girl Scout
scout.n.03	someone employed to discover and recruit talented persons (especially in the worlds of entertainment or sports)
scout.n.04	someone who can find paths through unexplored territory
scout.v.01	explore, often with the goal of finding something or somebody
scouting.n.01	exploring in order to gain information
scowl.v.01	frown with displeasure
scram.v.01	leave immediately; used usually in the imperative form
scramble.n.01	an unceremonious and disorganized struggle
scramble.v.01	to move hurriedly
scramble.v.03	bring into random order
scrape.n.03	a deep bow with the foot drawn backwards (indicating excessive humility)
scrape.v.01	scratch repeatedly
scrape.v.04	bend the knees and bow in a servile manner
scrape.v.05	gather (money or other resources) together over time
scrape_along.v.01	manage one's existence barely
scrapheap.n.02	pile of discarded metal
scratch.n.10	an indication of damage
scratch.v.02	cut the surface of; wear away the surface of
scratch.v.07	carve, cut, or etch into a material or surface
scratch_out.v.01	strike or cancel by or as if by rubbing or crossing out
scratcher.n.01	a workman who uses a tool for scratching
scratcher.n.02	a person who scratches to relieve an itch
scratchpad.n.01	(computer science) a high-speed internal memory used for temporary storage of preliminary information
scream.n.01	sharp piercing cry
scream.v.03	make a loud, piercing sound
screamer.n.03	gooselike aquatic bird of South America having a harsh trumpeting call
screech.n.01	a high-pitched noise resembling a human cry
screech_owl.n.02	small North American owl having hornlike tufts of feathers whose call sounds like a quavering whistle
screen.n.03	the display that is electronically created on the surface of the large end of a cathode-ray tube
screen.n.04	a covering that serves to conceal or shelter something
screen.n.05	a protective covering consisting of netting; can be mounted in a frame
screen.n.09	partition consisting of a decorative frame or panel that serves to divide a space
screen.v.02	examine methodically
screen.v.03	examine in order to test suitability
screen.v.04	project onto a screen for viewing
screen.v.05	prevent from entering
screen_actor.n.01	an actor who plays a role in a film
screen_font.n.01	the font that is displayed on a computer screen
screener.n.01	a guard at an airport who checks passengers or their luggage at a security checkpoint
screening.n.01	the display of a motion picture
screening.n.04	testing objects or persons in order to identify those with particular characteristics
screenwriter.n.01	someone who writes screenplays
screw.n.03	a propeller with several angled blades that rotates to push against water or air
screw.n.04	a fastener with a tapered threaded shank and a slotted head
screw.v.02	turn like a screw
screw.v.03	cause to penetrate, as with a circular motion
screw_bean.n.01	spirally twisted sweet pod of screwbean mesquite that is used for fodder or ground into meal for feed
screw_bean.n.02	shrub or small tree of southwestern United States and northwestern Mexico having spirally twisted pods
screw_tree.n.01	a tree or shrub of the genus Helicteres
screwup.n.01	the complete mismanagement or mishandling of a situation
scribble.n.01	poor handwriting
scribble.n.02	an aimless drawing
scribble.v.01	write down quickly without much attention to detail
scribble.v.02	write carelessly
scribe.n.02	informal terms for journalists
scribe.v.01	score a line on with a pointed instrument, as in metalworking
scrimmage.n.01	(American football) practice play between a football team's squads
scrimmage.v.01	practice playing (a sport)
scrimshank.v.01	British military language: avoid work
scrimshanker.n.01	a shirker
script.n.01	a written version of a play or other dramatic composition; used in preparing for a performance
script.n.03	a particular orthography or writing system
script.v.01	write a script for
scripture.n.02	any writing that is regarded as sacred by a religious group
scroll.n.02	a document that can be rolled up (as for storage)
scrophularia.n.01	type genus of Scrophulariaceae; named for the plants' supposed ability to cure scrofula: figworts
scrophulariaceae.n.01	a family of dicotyledonous plants of the order Polemoniales; includes figwort and snapdragon and foxglove and toadflax and speedwell and mullein; in some classifications placed in the order Scrophulariales
scrophulariales.n.01	used in some classification systems; often included in the order Polemoniales
scrotum.n.01	the external pouch that contains the testes
scrounge.v.01	collect or look around for (food)
scrub.n.02	the act of cleaning a surface by rubbing it with a brush and soap and water
scrub.v.01	clean with hard rubbing
scrub.v.02	wash thoroughly
scrub_beefwood.n.01	tree or tall shrub with shiny leaves and umbels of fragrant creamy-white flowers; yields hard heavy reddish wood
scrub_oak.n.01	any of various chiefly American small shrubby oaks often a dominant form on thin dry soils sometimes forming dense thickets
scrub_pine.n.01	common small shrubby pine of the eastern United States having straggling often twisted or branches and short needles in bunches of 2
scrubbird.n.01	small fast-running Australian bird resembling a wren and frequenting brush or scrub
scrum.n.01	(rugby) the method of beginning play in which the forwards of each team crouch side by side with locked arms; play starts when the ball is thrown in between them and the two sides compete for possession
scrumpy.n.01	strong cider (as made in western England)
scruple.n.01	a unit of apothecary weight equal to 20 grains
scruple.n.02	uneasiness about the fitness of an action
scruple.v.01	hesitate on moral grounds
scruple.v.02	raise scruples
scruple.v.03	have doubts about
scrupulous.a.01	having scruples; arising from a sense of right and wrong; principled
scrutineer.n.01	someone who examines votes at an election
scrutinizer.n.01	a careful examiner; someone who inspects with great care
scrutiny.n.02	a prolonged intense look
scud.n.01	the act of moving along swiftly (as before a gale)
scud.v.02	run before a gale
scuff.v.01	walk without lifting the feet
scuffle.v.02	fight or struggle in a confused way at close quarters
scull.v.01	propel with sculls
scullery.n.01	a small room (in large old British houses) next to the kitchen; where kitchen utensils are cleaned and kept and other rough household jobs are done
sculpin.n.01	any of numerous spiny large-headed usually scaleless scorpaenoid fishes with broad mouths
sculpt.v.01	create by shaping stone or wood or any other hard material
sculpt.v.02	shape (a material like stone or wood) by whittling away at it
sculptor.n.01	an artist who creates sculptures
sculpture.n.01	a three-dimensional work of plastic art
sculpture.n.02	creating figures or designs in three dimensions
scup.n.03	porgy of southern Atlantic coastal waters of North America
scurf.n.01	(botany) a covering that resembles scales or bran that covers some plant parts
scurrility.n.01	foul-mouthed or obscene abuse
scurry.v.01	to move about or proceed hurriedly
scurvy_grass.n.01	a widely distributed Arctic cress reputed to have value in treatment or prevention of scurvy; a concentrated source of vitamin C
scut.n.01	a short erect tail
scute.n.01	large bony or horny plate as on an armadillo or turtle or the underside of a snake
scutellaria.n.01	an asterid dicot genus that includes the skullcaps
scutigera.n.01	a genus of Scutigeridae
scutigerella.n.01	garden centipedes
scutigeridae.n.01	a family of Chilopoda
scyliorhinidae.n.01	small bottom-dwelling sharks
scyphozoa.n.01	coelenterates in which the polyp stage is absent or at least inconspicuous: jellyfishes
scythia.n.01	an ancient area of Eurasia extending from the Black Sea to the Aral Sea that was populated by Scythians from the eighth to the fourth century BC
sea.n.01	a division of an ocean or a large body of salt water partially enclosed by land
sea_anemone.n.01	marine polyps that resemble flowers but have oral rings of tentacles; differ from corals in forming no hard skeleton
sea_bass.n.02	any of various food and sport fishes of the Atlantic coast of the United States having an elongated body and long spiny dorsal fin
sea_bream.n.02	any of numerous marine percoid fishes especially (but not exclusively) of the family Sparidae
sea_chub.n.01	schooling fishes mostly of Indian and western Pacific oceans; two species in western Atlantic
sea_cow.n.01	any of two families of large herbivorous aquatic mammals with paddle-shaped tails and flipper-like forelimbs and no hind limbs
sea_cucumber.n.01	echinoderm having a flexible sausage-shaped body, tentacles surrounding the mouth and tube feet; free-living mud feeders
sea_duck.n.01	any of various large diving ducks found along the seacoast: eider; scoter; merganser
sea_eagle.n.02	any of various large eagles that usually feed on fish
sea_hare.n.01	naked marine gastropod having a soft body with reduced internal shell and two pairs of ear-like tentacles
sea_holly.n.01	European evergreen eryngo with twisted spiny leaves naturalized on United States east coast; roots formerly used as an aphrodisiac
sea_kale.n.01	perennial of coastal sands and shingles of northern Europe and Baltic and Black Seas having racemes of small white flowers and large fleshy blue-green leaves often used as potherbs
sea_ladder.n.01	(nautical) ladder to be lowered over a ship's side for coming aboard
sea_lamprey.n.01	large anadromous lamprey sometimes used as food; destructive of native fish fauna in the Great Lakes
sea_lavender.n.01	any of various plants of the genus Limonium of temperate salt marshes having spikes of white or mauve flowers
sea_lawyer.n.01	an argumentative and contentious seaman
sea_lion.n.01	any of several large eared seals of the northern Pacific related to fur seals but lacking their valuable coat
sea_milkwort.n.01	a small fleshy herb common along North American seashores and in brackish marshes having pink or white flowers
sea_nymph.n.01	(Greek mythology) a water nymph who was the daughter of Oceanus or Nereus
sea_of_azov.n.01	a bay of the Black Sea between Russia and the Ukraine
sea_otter.n.01	large marine otter of northern Pacific coasts having very thick dark brown fur
sea_power.n.01	naval strength
sea_power.n.02	a nation that possesses formidable naval strength
sea_robin.n.01	American gurnard; mostly found in bays and estuaries
sea_scallop.n.01	muscle of large deep-water scallops
sea_scallop.n.02	a large scallop inhabiting deep waters of the Atlantic coast of North America
sea_slug.n.01	any of various marine gastropods of the suborder Nudibranchia having a shell-less and often beautifully colored body
sea_squill.n.01	having dense spikes of small white flowers and yielding a bulb with medicinal properties
sea_trout.n.02	any of several sciaenid fishes of North American coastal waters
sea_turtle.n.01	any of various large turtles with limbs modified into flippers; widely distributed in warm seas
sea_urchin.n.01	shallow-water echinoderms having soft bodies enclosed in thin spiny globular shells
seabird.n.01	a bird that frequents coastal waters and the open ocean: gulls; pelicans; gannets; cormorants; albatrosses; petrels; etc.
seafaring.n.01	the work of a sailor
seafood.n.01	edible fish (broadly including freshwater fish) or shellfish or roe etc
seal.n.02	a device incised to make an impression; used to secure a closing or to authenticate documents
seal.n.07	a finishing coat applied to exclude moisture
seal.n.08	fastener that provides a tight and perfect closure
seal.n.09	any of numerous marine mammals that come on shore to breed; chiefly of cold regions
seal.v.01	make tight; secure against leakage
seal.v.02	close with or as if with a seal
seal.v.03	decide irrevocably
seal.v.04	affix a seal to
seal.v.06	hunt seals
sealant.n.01	a kind of sealing material that is used to form a hard coating on a porous surface (as a coat of paint or varnish used to size a surface)
sealing_material.n.01	any substance used to seal joints or fill cracks in a porous surface
sealing_wax.n.01	fastener consisting of a resinous composition that is plastic when warm; used for sealing documents and parcels and letters
seam.n.01	joint consisting of a line formed by joining two pieces
seamanlike.a.01	characteristic of or befitting a seaman; indicating competent seamanship
seamanship.n.01	skill in sailing
seance.n.01	a meeting of spiritualists
seaplane.n.01	an airplane that can land on or take off from water
seaport.n.01	a sheltered port where ships can take on or discharge cargo
sear.v.01	make very hot and dry
search.n.01	the activity of looking thoroughly in order to find something or someone
search.v.01	try to locate or discover, or try to establish the existence of
search.v.02	search or seek
search.v.04	subject to a search
search_engine.n.01	a computer program that retrieves documents or files or data from a database or from a computer network (especially from the internet)
searcher.n.02	a customs official whose job is to search baggage or goods or vehicles for contraband or dutiable items
seashore.n.01	the shore of a sea or ocean
seasnail.n.02	any of several creeping marine gastropods with a spirally coiled shell: whelks; tritons; moon shells; neritids
season.n.01	a period of the year marked by special events or activities in some field
season.n.02	one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions
season.n.03	a recurrent time marked by major holidays
season.v.01	lend flavor to
seasoned_salt.n.01	combination of salt and vegetable extracts and spices and monosodium glutamate
seasoning.n.02	the act of adding a seasoning to food
seat.n.01	a space reserved for sitting (as in a theater or on a train or airplane)
seat.n.03	furniture that is designed for sitting on
seat.n.04	any support where you can sit (especially the part of a chair or bench etc. on which you sit)
seat.n.05	a center of authority (as a city from which authority is exercised)
seat.v.01	show to a seat; assign a seat for
seat.v.02	be able to seat
seat.v.04	put a seat on a chair
seat.v.05	provide with seats
seat.v.06	place or attach firmly in or on a base
seat.v.07	place in or on a seat
seat_belt.n.01	a safety belt used in a car or plane to hold you in your seat in case of an accident
seating.n.01	an area that includes places where several people can sit
seattle.n.01	a major port of entry and the largest city in Washington; located in west central Washington on the protected waters of Puget Sound with the snow-capped peaks of the Cascade Range and Mount Ranier visible to the south and east; an aerospace and computer center; site of the University of Washington
seawater.n.01	water containing salts
seaway.n.01	a lane at sea that is a regularly used route for vessels
seaweed.n.01	plant growing in the sea, especially marine algae
sebaceous_cyst.n.01	a common cyst of the skin; filled with fatty matter (sebum) that is secreted by a sebaceous gland that has been blocked
sebaceous_gland.n.01	a cutaneous gland that secretes sebum (usually into a hair follicle) for lubricating hair and skin
sebastiana.n.01	Mexican spurges
secale.n.01	cereal grass widely cultivated for its grain: rye
secateurs.n.01	small pruning shears with a spring that holds the handles open and a single blade that closes against a flat surface
secede.v.01	withdraw from an organization or communion
secession.n.03	formal separation from an alliance or federation
secessionism.n.01	a doctrine that maintains the right of secession
seclude.v.01	keep away from others
seclusion.n.02	the act of secluding yourself from others
secobarbital_sodium.n.01	barbiturate that is a white odorless slightly bitter powder (trade name Seconal) used as a sodium salt for sedation and to treat convulsions
second-guess.v.01	attempt to anticipate or predict
second-rater.n.01	a person of second-rate ability or value
second.n.01	1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites
second.n.08	a speech seconding a motion
second.v.01	give support or one's approval to
second_baseman.n.01	(baseball) the person who plays second base
second_coming.n.01	(Christian theology) the reappearance of Jesus as judge for the Last Judgment
second_estate.n.01	the nobility in France and the peerage in Britain
second_joint.n.01	the upper joint of the leg of a fowl
second_period.n.01	the second division into which the play of a game is divided
secondary_education.n.01	education beyond the elementary grades; provided by a high school or college preparatory school
secondary_school.n.01	a school for students intermediate between elementary school and college; usually grades 9 to 12
seconder.n.01	someone who endorses a motion or petition as a necessary preliminary to a discussion or vote
secotiaceae.n.01	a family of fungi that have a stalk and cap and a wrinkled mass of tissue (the gleba) where spores are produced; are often dismissed as misshapen forms of other fungi
secotiales.n.01	an order of fungi belonging to the class Gasteromycetes
secret.n.02	information known only to a special group
secret_agent.n.01	a person secretly employed in espionage for a government
secret_intelligence_service.n.01	the government agency in the United Kingdom that is responsible for internal security and counterintelligence overseas
secret_society.n.01	a society that conceals its activities from nonmembers
secretary.n.01	a person who is head of an administrative department of government
secretary.n.02	an assistant who handles correspondence and clerical work for a boss or an organization
secretary_bird.n.01	large long-legged African bird of prey that feeds on reptiles
secretary_of_labor.n.02	the position of the head of the Department of Labor
secretaryship.n.01	the position of secretary
secrete.v.01	generate and separate from cells or bodily fluids
secretion.n.01	the organic process of synthesizing and releasing some substance
secretion.n.02	a functionally specialized substance (especially one that is not a waste) released from a gland or cell
sect.n.01	a subdivision of a larger religious group
sectarian.a.01	of or relating to or characteristic of a sect or sects
sectarian.a.02	belonging to or characteristic of a sect
section.n.01	a self-contained part of a larger composition (written or musical)
section.n.03	a distinct region or subdivision of a territorial or political area or community or group of people
section.n.04	one of several parts or pieces that fit with others to constitute a whole object
section.n.08	(geometry) the area created by a plane cutting through a solid
section.n.10	a division of an orchestra containing all instruments of the same class
section.n.13	a segment of a citrus fruit
section_eight.n.01	a soldier who received a Section Eight discharge as unfit for military service
section_eight.n.02	a discharge from the US Army based on unfitness or character traits deemed undesirable
sectionalize.v.01	divide into sections, especially into geographic sections
sector.n.02	a social group that forms part of the society or the economy
sector.n.05	a portion of a military position
secularism.n.01	a doctrine that rejects religion and religious considerations
secure.a.03	not likely to fail or give way
security.n.01	the state of being free from danger or injury
security.n.02	defense against financial failure; financial independence
security.n.03	freedom from anxiety or fear
security.n.04	a formal declaration that documents a fact of relevance to finance and investment; the holder has a right to receive interest or dividends
security.n.05	property that your creditor can claim in case you default on your obligation
security_force.n.01	a privately employed group hired to protect the security of a business or industry
security_interest.n.01	any interest in a property that secures the payment of an obligation
security_service.n.01	the government agency in the United Kingdom that is responsible for internal security and counterintelligence on British territory
sedan.n.01	a car that is closed and that has front and rear seats and two or four doors
sedate.v.01	cause to be calm or quiet as by administering a sedative to
sedateness.n.01	a trait of dignified seriousness
sedation.n.02	the administration of a sedative agent or drug
sedative-hypnotic.n.01	a sedative that depresses activity of the central nervous system and reduces anxiety and induces sleep
sedative.n.01	a drug that reduces excitability and calms a person
sedge.n.01	grasslike or rushlike plant growing in wet places having solid stems, narrow grasslike leaves and spikelets of inconspicuous flowers
sedge_warbler.n.01	small European warbler that breeds among reeds and wedges and winters in Africa
sediment.n.01	matter that has been deposited by some natural process
sediment.v.01	deposit as a sediment
sedimentary.a.01	resembling or containing or formed by the accumulation of sediment
sedimentary_rock.n.01	rock formed from consolidated clay sediments
sedition.n.01	an illegal action inciting resistance to lawful authority and tending to cause the disruption or overthrow of the government
seduce.v.01	induce to have sex
seduce.v.02	lure or entice away from duty, principles, or proper conduct
seducer.n.02	a man who takes advantage of women
seduction.n.02	an act of winning the love or sexual favor of someone
sedum.n.01	any of various plants of the genus Sedum
see.n.01	the seat within a bishop's diocese where his cathedral is located
see.v.01	perceive by sight or have the power to perceive by sight
see.v.05	deem to be
see.v.10	be careful or certain to do something; make certain of something
see.v.17	see and understand, have a good eye
see.v.19	observe as if with an eye
seed.n.01	a small hard fruit
seed.n.02	a mature fertilized plant ovule consisting of an embryo and its food source and having a protective coat or testa
seed.v.05	distribute (players or teams) so that outstanding teams or players will not meet in the early rounds
seed.v.08	remove the seeds from
seed_beetle.n.01	a small beetle that infests the seeds of legumes
seeder.n.01	a person who seeds clouds
seeger.n.01	United States folk singer who was largely responsible for the interest in folk music in the 1960s (born in 1919)
